	baseMean	log2FoldChange	lfcSE	pvalue	padj
CELSR3	474.3948978063138	2.57395022247227	0.37582731979647194	5.955347677260488e-13	8.973626159144781e-11
PRKG2	387.8233292297626	-4.883121454223652	0.7107672959078943	6.124974256873409e-13	9.146076424115023e-11
FAM150A	21.227202083791923	3.4498614884182492	0.5069005667350339	6.947322433149294e-13	1.0190430914110581e-10
GUCA2A	13417.937436006141	-4.467153555115818	0.6603630913593819	6.915944290868071e-13	1.0190430914110581e-10
CMSS1	537.3344861268251	1.5670477427567282	0.2265095383418883	8.051420645425911e-13	1.1706341859467935e-10
TMEM147-AS1	229.749484685108	2.1695062406995795	0.31733736374289745	8.905306110681722e-13	1.2835256416047785e-10
SHISA2	76.84208243641663	3.2127496839906167	0.47352911597072966	1.0057990480429634e-12	1.4371654501131137e-10
SLC11A1	193.98110436670933	2.6676942396980032	0.3941429563258992	1.1071727792692292e-12	1.568494770631408e-10
APLN	195.05268048265395	3.4852262437161947	0.518855584010577	1.1777486494838368e-12	1.6543376156944572e-10
RP11-58O9.2	205.45539232713048	4.215219239292965	0.6316835589746665	1.4310131949493253e-12	1.9931969501079887e-10
AGPAT9	816.2038876435983	-3.0418706920341343	0.4529403585474503	1.4733341660111686e-12	2.0350428168029265e-10
NME1	1691.8565605748336	2.3311488837236793	0.3450911779352876	1.5974099961933174e-12	2.18818766007473e-10
SLC35D3	203.1159885299818	4.798357343185698	0.7220202924728849	1.6440013704016877e-12	2.233551042164588e-10
NKD2	628.0679763719648	4.562279098624409	0.6900764048802323	2.0315298747351655e-12	2.715532876914142e-10
KLF9	1866.9503624368579	-2.2455239357404024	0.33491508619889365	2.0240043122154736e-12	2.715532876914142e-10
SLCO4A1-AS1	317.6662441375088	4.670016429084249	0.7085414927497171	2.219672798815845e-12	2.9432861312298103e-10
CNTD2	316.0855587449809	6.389261240908386	0.9777990374579539	2.699196857246439e-12	3.546049988648497e-10
CDKN2B	2968.4501867630033	-3.185791559818523	0.4824418167108588	2.7170337771243387e-12	3.546049988648497e-10
EDAR	743.4605500508164	4.376937637130262	0.6659626897934023	2.834946921461515e-12	3.6710347830644225e-10
CPXM1	393.5030706162025	3.1294287328772907	0.47448746733207214	3.151032527352361e-12	4.0487103985166966e-10
ADAMDEC1	5470.909148225086	-3.7161179794047117	0.5659742527132154	3.2342564509644877e-12	4.123676974979722e-10
C2orf88	2120.618451567763	-4.036037455124222	0.6166700054698765	3.334729425727884e-12	4.2193236817892887e-10
PDE3A	1623.025422004835	-2.474514549379804	0.3737406897607363	3.396183456587256e-12	4.2645258176464976e-10
NCAM1	650.6562594112631	-3.2939492819637746	0.4995000970774465	3.626476385542335e-12	4.485734782863e-10
NAA20	2110.6028916912946	1.5311098719600285	0.2283659892345313	3.6256889126713337e-12	4.485734782863e-10
RNF112	50.174782434805365	-2.1811075825648736	0.3271990064892322	3.783667954081608e-12	4.645503432511307e-10
ABHD3	2044.4484668493772	-2.1795854812032567	0.3297388369866019	3.907120468540207e-12	4.761803071033377e-10
GDPD5	1113.981244537862	3.1462361463164097	0.48154103328370995	4.541371898183601e-12	5.494397022802423e-10
AZGP1	3411.395518587227	4.25986668568212	0.6562765580180125	4.758926976627468e-12	5.715885118666687e-10
SLC4A11	237.52345114869485	4.606555320690687	0.7111425487547336	4.884829219163113e-12	5.824895273930115e-10
RP5-1120P11.1	28.69302001802458	5.227742327324365	0.8051807676116425	5.792055483284526e-12	6.857379973960072e-10
SLC5A6	2981.3650281999435	2.071702476670401	0.3164991686140447	7.483181328247529e-12	8.795018692380605e-10
SLC51B	1484.9680761661532	-4.367016156770073	0.6810224958104314	7.534797311119433e-12	8.795018692380605e-10
ASB9	215.43624320185737	2.6815629671637256	0.41446604238098783	7.698381039064712e-12	8.923123477097734e-10
C9orf117	95.40689208716351	2.5559254912717146	0.39450916161807137	7.860323378941869e-12	9.047559722636213e-10
LY6G6C	58.10021445776973	4.418352962730453	0.6918937199803246	8.971802698059597e-12	1.0255698601402609e-09
BYSL	800.1842561366127	1.8798223855741503	0.28839537357901823	9.057811028751391e-12	1.02830971096955e-09
RP11-372E1.1	301.05677028799806	6.268069839761584	0.9901333815424072	1.0753787088851063e-11	1.2043514932277457e-09
NPFFR1	56.193941666273645	3.6825655059910427	0.581831044608828	1.073840558700465e-11	1.2043514932277457e-09
TACSTD2	660.8875519949147	4.7813715570576765	0.7523769407497477	1.0951687401293589e-11	1.2101614578429417e-09
TSPAN7	1734.9834896744621	-3.0962257235109933	0.4844357734621182	1.0894751018319304e-11	1.2101614578429417e-09
PGM5	2375.408627732155	-4.16267769890753	0.6564230749166555	1.2514766571928459e-11	1.3737235492034054e-09
BMP2	1442.7059645989518	-1.6962993089359022	0.26226626870573994	1.3614639503285823e-11	1.47639935289322e-09
ALDH1A1	3770.9794617839793	-2.9534304764236	0.4634075004525625	1.3628301719014339e-11	1.47639935289322e-09
KRT20	32361.496333664116	-2.7591757167412254	0.4334806181127401	1.481064078810402e-11	1.5940673445637928e-09
DKC1	3305.1353032056963	1.688245580020198	0.2614987080718292	1.499042737099252e-11	1.603008604349684e-09
BLACAT1	75.63801797489234	4.105775363881464	0.6485606050928964	1.527500747743685e-11	1.6229695444776654e-09
RELL2	135.09476626985642	2.7770825337226355	0.4365246717689835	1.5496681397733776e-11	1.636034994697053e-09
GFRA2	188.30958155140164	-3.285517189386774	0.5229837053506713	1.7349850170402535e-11	1.808640041348566e-09
STMN2	403.0030445055938	-3.611301798287009	0.5753923987655127	1.7308113023243684e-11	1.808640041348566e-09
S100P	4551.220475875988	3.5285013171829362	0.5590080609089545	1.885330542844772e-11	1.953084609228256e-09
NTN1	891.6830641457966	-3.4728504303976333	0.5497690327860492	1.920390785166269e-11	1.9770482772752117e-09
CA7	1594.9724644596547	-5.391280748890115	0.8687020321705224	1.9418074818324703e-11	1.983540041414255e-09
SDPR	1006.4173619550693	-3.2882917041014053	0.5201645553167854	1.9506306289624347e-11	1.983540041414255e-09
MRPS23	1371.290921672413	1.3572132155109073	0.209450073474905	2.0327529506506165e-11	2.0544439120142663e-09
GSTM5	139.7666119707177	-2.920166147531179	0.4586084113553125	2.0517272453112217e-11	2.0610532782444545e-09
PEX26	4456.935939113369	-1.9697237003396393	0.3087689349299485	2.079432630711624e-11	2.0695524565216348e-09
CNIH3	102.00929728067885	2.1058758041185053	0.3317834512291648	2.0851599411107873e-11	2.0695524565216348e-09
TRANK1	3022.198780093889	-1.983788012674506	0.3114332299769917	2.1576694189569494e-11	2.1287720606673474e-09
SLC35F1	55.88257811520324	-2.488082833471745	0.39316893383822155	2.2413555004881633e-11	2.19825251009416e-09
EVA1A	138.75693111573358	3.2775724019681274	0.521363710827455	2.2787678726526432e-11	2.221798675836327e-09
SOX9	6118.272592976084	2.429359679822478	0.3844870333755188	2.5628412518791e-11	2.4841575292336893e-09
OTX1	47.89096136919254	5.650529312620944	0.9100311353160083	2.742268599723503e-11	2.6273469387524314e-09
CTD-3035D6.1	427.956971378939	6.0189721914149885	0.9735759469873589	2.7404753453284902e-11	2.6273469387524314e-09
STK31	36.873409901877416	2.789884296922049	0.44356383813358563	2.7585976638989432e-11	2.627802085007183e-09
PAPSS2	6268.095745021885	-2.2430210391121084	0.3561405746749599	2.7861141400997717e-11	2.638848106980212e-09
KIAA1549	557.7304639903089	2.153278438034786	0.34082769350443165	2.8840985472757867e-11	2.7161325807441004e-09
GFRA1	426.22588886144655	-3.0613212843223288	0.4882369115695247	2.947215051988626e-11	2.759892061396129e-09
EPHX4	145.64489045303418	4.696547518488916	0.7577480319320488	3.046486767457389e-11	2.836826863517203e-09
PDX1	359.6419818360161	5.595605385812538	0.9085714194726703	3.133812335484158e-11	2.901840193332398e-09
TCF7	1414.9657449207107	2.352314699385061	0.3741310478166141	3.2314641277522075e-11	2.9756398843051576e-09
STOX2	97.1703231134173	-2.903475937152835	0.4595933683451966	3.3260122855793406e-11	3.0457819687004183e-09
CHL1	297.6938790968996	-2.9187853383566016	0.46642625123514386	3.453762139755148e-11	3.145390520134153e-09
GTF2IRD1	1940.2705801902707	2.1450557805288923	0.3411341177683452	3.483113442218135e-11	3.1547871751238024e-09
KIAA1683	219.38326915997484	-2.5128882582269716	0.4013591023697305	3.53432321657568e-11	3.1735332422061977e-09
FTSJ1	1367.675560604553	1.6884094287842883	0.2664235254473207	3.561249973154466e-11	3.1735332422061977e-09
ADAMTS2	1379.5222783159984	2.5168170437187523	0.40259740718383874	3.555643378027672e-11	3.1735332422061977e-09
SHH	589.3890094304973	2.8383671392660177	0.45745960161677174	3.9705536471102345e-11	3.519354369029526e-09
SH3TC2	190.2690112784224	3.1704456864494603	0.514594433411155	4.607475841052957e-11	4.062176173694296e-09
GPR56	6948.041734140477	1.756719372641247	0.2784774758392833	4.840478378710822e-11	4.245022705139252e-09
LIFR	527.4187287199962	-3.5373355613150537	0.5719888044034745	5.1880403212914085e-11	4.5258825434423736e-09
MEX3A	499.4216123312431	3.676672292409356	0.5997638039904326	5.3114668153859954e-11	4.6092964641373235e-09
FAM83H-AS1	657.0664464848937	2.9898592042663217	0.4859911538041233	5.609381171644325e-11	4.842473589583578e-09
ABCA8	757.6804464448691	-3.763075790686281	0.6171505670107934	6.141711209121298e-11	5.274552502133964e-09
METTL7A	4440.509971826234	-2.411135852079559	0.3924127845276237	6.780063849040724e-11	5.792760737002577e-09
IFITM2	6382.059127110961	3.137540335774705	0.5119115163553793	7.069037638750347e-11	5.9780254521575e-09
CCDC86	1052.0956274330147	1.5318671437655826	0.24479327629448314	7.046223278507914e-11	5.9780254521575e-09
UHRF1	786.9932108742256	2.971997062882978	0.48761485873670823	7.767108698939698e-11	6.535016582991142e-09
LRRC36	67.20615198633593	3.3389500448125973	0.550290449342451	7.89468758248538e-11	6.608810438368443e-09
DBNDD1	622.5426777165599	2.9286098720689346	0.4801422712944154	8.011392093791688e-11	6.672805223849107e-09
PHLPP2	2665.408497483205	-3.069255973798999	0.5040964172900092	8.104219011708971e-11	6.71637150595381e-09
PHLDA1	3098.886037057691	2.9015154267232055	0.4755027659334526	8.256941587068234e-11	6.775188455725542e-09
C1QTNF7	142.06402178873662	-3.1931072602948554	0.5184889349934794	8.217337689911057e-11	6.775188455725542e-09
GREM2	940.5075773014476	-4.175369153739646	0.6890666908510142	8.873650971971915e-11	7.245357874898251e-09
C17orf96	222.0998889076409	3.322566246563828	0.5496488641419978	9.837464767762073e-11	7.953950171983237e-09
TGIF2	910.1404678102948	2.0275794337990436	0.33061107307600845	9.811532906646423e-11	7.953950171983237e-09
PAG1	2007.415964549519	-2.0893414902654373	0.34264167922997485	9.934182525797499e-11	7.993158998305512e-09
SMPDL3A	2511.2095291730548	-3.309748335432973	0.5493336270056527	1.1026030995356812e-10	8.828814673818316e-09
SLC25A23	5501.125912059619	-1.8033570844992244	0.2942713061706257	1.1930079985325355e-10	9.506782488306142e-09
CCND1	4887.487418893246	1.737341071343571	0.2826346226751441	1.2482060870635587e-10	9.89905066654473e-09
SULT1A2	576.3272904425123	-3.813657931706283	0.6399627453541985	1.2675265834007083e-10	1.0004406247555591e-08
C6orf223	707.4113715420555	4.6759856459879785	0.7863747541593544	1.3686024578533485e-10	1.0750988501857465e-08
SYNM	10753.58806630096	-5.22508561468568	0.8835061702915123	1.4868364297336508e-10	1.1624676331526068e-08
PAQR4	1029.522801030761	2.627671560083678	0.43748498208645736	1.6180504888664564e-10	1.2591167536601649e-08
TRIP13	464.3177527297594	2.452379814555052	0.40807833250581466	1.707499421969446e-10	1.3225141551001667e-08
SLC9A1	4372.2210015949795	-1.3346618456799209	0.21745740593665594	1.798887949306024e-10	1.3868171051045278e-08
RP11-832N8.1	207.21072900868612	5.41964458792484	0.9223374122349286	1.8165161888906275e-10	1.393923881058433e-08
KLHL35	343.336378891116	5.14688712087606	0.8750644523825817	1.8614705834163045e-10	1.4218375539228224e-08
GDF15	5779.203570219259	3.908967594774694	0.6594171194582535	1.890912420636144e-10	1.4377006133965178e-08
AD000092.3	245.99975123601405	5.7940607156262125	0.9872770368896775	1.9020561611506352e-10	1.4395699027886656e-08
PLEKHN1	98.3004334371078	3.419322821159219	0.5798664999438483	2.0117397232167253e-10	1.515662996014419e-08
AC144831.1	77.91699805279458	-2.6875517975916026	0.4481827598371008	2.0384649037692757e-10	1.528848677826957e-08
TOX	490.1641963722776	-2.270110610568113	0.3787197817165961	2.117371763716503e-10	1.5808755398018483e-08
NBPF1	790.2299070115668	-1.799794794766869	0.2984652888182305	2.332482071057086e-10	1.7336722120076773e-08
AXIN2	2637.580912743295	2.1831795936523526	0.36435822909079424	2.3829600321987494e-10	1.7554472237197456e-08
RCAN2	648.9200449783444	-2.051226423385493	0.34227017033140017	2.381213910908938e-10	1.7554472237197456e-08
LRP8	346.29889957280847	2.8257757201151814	0.4774918735310424	2.451936826236541e-10	1.798267827206667e-08
C2orf61	15.039708016284544	3.9865989944933062	0.668239402857039	2.4812000287653145e-10	1.811713236862779e-08
S100A2	182.2736612755891	4.145507309404514	0.7097352631546089	2.5878883378376463e-10	1.8813267192832887e-08
MYH11	123822.35094756431	-5.305219212209066	0.9147549389414027	2.836282781415608e-10	2.052899000085751e-08
TMEM211	193.09129793539725	5.860437201230899	1.0108413455943304	2.878910599727887e-10	2.0746931821952055e-08
MCIDAS	20.89117031949133	4.266771688947921	0.7274187160792777	3.089783454882494e-10	2.2170199465228283e-08
KAT2A	1922.6265803575625	1.655197461988419	0.2763870576147672	3.124298791490681e-10	2.2321229512481914e-08
PDPN	624.9514429532304	1.9325174965702911	0.3247721959646187	3.1877388972588696e-10	2.2676726275564703e-08
HIST1H1C	1098.8763423332978	-2.7675912027137866	0.4730021786784409	3.4747685690713586e-10	2.461294403092212e-08
ZC3HAV1L	211.84657852838663	2.5935896497457023	0.4432044515280165	3.6573829465144985e-10	2.579622227169269e-08
VIP	1018.5677129542604	-3.4180899148794905	0.5910140355101531	3.9761634079889564e-10	2.792580868110888e-08
TACR2	1122.2419709350752	-4.419878729393549	0.7661081572222184	4.0193402912493203e-10	2.8109943176142397e-08
RUVBL1	1996.2961573398395	1.9697195419362887	0.33186876174936286	4.1967967866382994e-10	2.9227691906945298e-08
SLC39A10	815.5524493797154	1.999294002475658	0.3382805333665056	4.3075058043099975e-10	2.9873183559179164e-08
NBEA	274.88556798358616	-3.9908256737582466	0.6839034447533889	4.4779983852402116e-10	3.092617634806521e-08
PCSK5	1719.8219272505573	-2.680819238062049	0.459886606597171	4.5005792961132756e-10	3.095315428758404e-08
SLC38A5	2413.607411802651	2.85306131906932	0.4902172976975587	4.538452488693222e-10	3.108464876036783e-08
NR2C2AP	693.2325807270677	1.4690799765479228	0.24630779183295343	4.5999131010918544e-10	3.13759504734969e-08
CGREF1	644.8518069907743	3.4974003757195233	0.6050680379740588	4.6556431465816346e-10	3.1625936538766636e-08
C7	2851.9375642234922	-4.016239601273455	0.6983481129730279	4.706551550509359e-10	3.18412620202827e-08
MT-TY	1025.8319936012686	5.692967534945883	0.997119411016298	5.000877229114239e-10	3.369493498884899e-08
PRR7	408.7875447197597	4.057072933152719	0.7068481101882718	5.084862953342797e-10	3.4122106660589825e-08
ZP3	368.7594559623833	2.5176640387259153	0.43303363773413567	5.140740303846534e-10	3.435797199042592e-08
TDP2	6819.216987015543	-2.4109524509786375	0.4146958529478403	5.403698939757672e-10	3.5970405592965227e-08
AHCY	14706.093030416803	2.2301525001059477	0.3819122951108749	5.570381840410371e-10	3.693163160192076e-08
OLR1	95.33208794217107	4.113971566928602	0.7171507901079301	5.755713185684113e-10	3.800834504092198e-08
ETFDH	1228.5670693247364	-2.2258677854799815	0.3826460185627562	5.9503410538253e-10	3.913765990760093e-08
S100A11	9743.310373410406	2.398345319692029	0.4135881996094348	6.178377513951484e-10	4.0476919878950925e-08
LMO3	468.3548648876424	-4.407495172205303	0.7702896604800105	6.43017181869187e-10	4.1860315185856714e-08
